OffspringID1,OffspringID2,Probability
L2575,L5244,0.032
L2575,L5248,0.244
L2575,L5276,0.020
L2575,L5469,0.043
L2575,L5593,0.015
L2585,L2598,0.011
L2585,L2660,0.028
L2585,L2773,0.009
L2585,L2803,0.016
L2585,L2884,0.067
L2585,L2962,0.317
L2585,L2993,0.065
L2585,L3028,0.004
L2585,L3984,0.069
L2585,L4441,0.006
L2585,L4937,0.003
L2585,L5064,0.249
L2585,L5227,0.123
L2585,L5407,0.534
L2591,L2666,0.904
L2591,L2744,0.658
L2591,L2835,0.316
L2591,L2923,0.903
L2591,L2979,0.020
L2591,L3005,0.025
L2591,L3016,0.008
L2591,L3020,0.896
L2591,L3031,0.022
L2591,L3041,0.945
L2591,L3086,0.002
L2591,L3090,0.891
L2591,L3093,0.067
L2591,L3109,1.000
L2591,L3150,0.932
L2591,L3240,0.769
L2591,L3296,0.046
L2591,L4418,1.000
L2591,L5071,0.017
L2591,L5276,0.005
L2591,L5469,0.940
L2591,L5476,0.991
L2594,L2746,0.119
L2594,L2884,0.067
L2594,L2962,0.109
L2594,L3101,0.055
L2594,L3130,0.005
L2594,L4979,0.018
L2594,L5064,0.016
L2594,L5070,0.997
L2594,L5483,0.496
L2598,L2644,0.011
L2598,L2645,0.011
L2598,L2650,0.011
L2598,L2656,0.011
L2598,L2669,0.001
L2598,L2674,0.011
L2598,L2728,0.011
L2598,L2733,0.011
L2598,L2744,0.011
L2598,L2827,0.011
L2598,L2877,0.011
L2598,L2898,0.011
L2598,L2910,0.011
L2598,L2916,0.011
L2598,L2979,0.011
L2598,L3038,0.011
L2598,L3039,0.011
L2598,L3068,0.011
L2598,L3069,0.011
L2598,L3076,0.011
L2598,L3088,0.011
L2598,L3090,0.011
L2598,L3155,0.011
L2598,L3310,0.011
L2598,L3344,0.011
L2598,L3346,0.011
L2598,L3347,0.011
L2598,L3363,0.011
L2598,L3366,0.011
L2598,L3369,0.011
L2598,L3381,0.011
L2598,L3382,0.011
L2598,L3409,0.011
L2598,L3412,0.011
L2598,L3553,0.011
L2598,L3607,0.011
L2598,L3608,0.011
L2598,L3700,0.011
L2598,L3702,0.011
L2598,L3845,0.011
L2598,L3940,0.011
L2598,L3944,0.011
L2598,L4424,0.011
L2598,L4462,0.011
L2598,L4889,0.011
L2598,L4899,0.011
L2598,L4905,0.011
L2598,L4923,0.011
L2598,L4951,0.011
L2598,L4991,0.011
L2598,L5024,0.011
L2598,L5036,0.011
L2598,L5037,0.011
L2598,L5045,0.011
L2598,L5047,0.011
L2598,L5055,0.011
L2598,L5062,0.011
L2598,L5067,0.011
L2598,L5072,0.011
L2598,L5092,0.011
L2598,L5174,0.011
L2598,L5177,0.011
L2598,L5219,0.011
L2598,L5225,0.011
L2598,L5230,0.011
L2598,L5236,0.011
L2598,L5238,0.011
L2598,L5239,0.011
L2598,L5248,0.011
L2598,L5263,0.011
L2598,L5273,0.011
L2598,L5281,0.011
L2598,L5300,0.011
L2598,L5393,0.011
L2598,L5400,0.011
L2598,L5414,0.011
L2598,L5464,0.011
L2598,L5465,0.011
L2598,L5468,0.011
L2598,L5485,0.011
L2598,L5488,0.011
L2598,L5580,0.011
L2598,L5588,0.011
L2598,L5593,0.011
L2605,L2894,0.002
L2605,L2967,0.021
L2605,L2999,0.737
L2605,L3022,0.005
L2605,L3067,0.022
L2605,L4974,0.002
L2605,L5057,0.006
L2611,L2874,0.779
L2611,L2884,0.005
L2611,L3052,1.000
L2611,L3093,0.730
L2640,L2803,0.039
L2640,L2827,0.106
L2640,L2884,0.067
L2640,L2962,0.719
L2640,L2993,0.849
L2640,L3090,0.007
L2640,L3114,0.364
L2640,L3130,0.025
L2640,L3984,0.019
L2640,L4966,0.012
L2640,L5070,0.369
L2641,L2962,0.937
L2641,L2979,0.848
L2641,L2993,0.965
L2641,L3093,0.067
L2641,L3101,0.735
